snapshot_time,code,element_id,gw,ep_next
2026-07-08 19:04:26.910384,15157,170,,0.0
2026-07-08 19:04:26.910384,17761,291,,5.2
2026-07-08 19:04:26.910384,19236,753,,0.0
2026-07-08 19:04:26.910384,21205,434,,0.0
2026-07-08 19:04:26.910384,37096,738,,0.0
2026-07-08 19:04:26.910384,40383,782,,0.0
2026-07-08 19:04:26.910384,44699,218,,0.0
2026-07-08 19:04:26.910384,49262,138,,0.0
2026-07-08 19:04:26.910384,50175,178,,3.0
2026-07-08 19:04:26.910384,51943,185,,0.0
2026-07-08 19:04:26.910384,54469,73,,5.7
2026-07-08 19:04:26.910384,56979,124,,-0.3
2026-07-08 19:04:26.910384,57328,263,,-0.8
2026-07-08 19:04:26.910384,58621,187,,1.3
2026-07-08 19:04:26.910384,59735,341,,5.0
2026-07-08 19:04:26.910384,59859,420,,0.0
2026-07-08 19:04:26.910384,59949,294,,0.2
2026-07-08 19:04:26.910384,60307,783,,3.7
2026-07-08 19:04:26.910384,60689,525,,2.8
2026-07-08 19:04:26.910384,61256,457,,0.0
2026-07-08 19:04:26.910384,67089,470,,0.7
2026-07-08 19:04:26.910384,69752,66,,0.0
2026-07-08 19:04:26.910384,72147,33,,-0.5
2026-07-08 19:04:26.910384,74854,529,,0.0
2026-07-08 19:04:26.910384,75115,671,,2.0
2026-07-08 19:04:26.910384,76357,331,,0.8
2026-07-08 19:04:26.910384,77794,478,,0.8
2026-07-08 19:04:26.910384,78916,476,,3.2
2026-07-08 19:04:26.910384,79602,629,,1.0
2026-07-08 19:04:26.910384,80201,314,,3.8
2026-07-08 19:04:26.910384,80801,302,,0.2
2026-07-08 19:04:26.910384,81441,471,,0.0
2026-07-08 19:04:26.910384,82143,601,,0.0
2026-07-08 19:04:26.910384,83299,146,,5.7
2026-07-08 19:04:26.910384,84182,600,,0.0
2026-07-08 19:04:26.910384,84450,668,,4.2
2026-07-08 19:04:26.910384,85633,502,,5.0
2026-07-08 19:04:26.910384,85971,579,,0.0
2026-07-08 19:04:26.910384,86873,664,,0.0
2026-07-08 19:04:26.910384,87835,632,,0.0
2026-07-08 19:04:26.910384,88248,400,,0.0
2026-07-08 19:04:26.910384,88894,55,,2.5
2026-07-08 19:04:26.910384,90585,514,,0.0
2026-07-08 19:04:26.910384,91651,422,,2.0
2026-07-08 19:04:26.910384,91889,625,,0.0
2026-07-08 19:04:26.910384,95658,442,,5.2
2026-07-08 19:04:26.910384,97032,373,,5.7
2026-07-08 19:04:26.910384,97299,409,,0.7
2026-07-08 19:04:26.910384,97846,340,,0.0
2026-07-08 19:04:26.910384,98747,469,,3.0
2026-07-08 19:04:26.910384,98980,32,,2.7
2026-07-08 19:04:26.910384,101148,480,,0.0
2026-07-08 19:04:26.910384,101178,614,,1.3
2026-07-08 19:04:26.910384,101188,37,,1.3
2026-07-08 19:04:26.910384,101982,627,,0.0
2026-07-08 19:04:26.910384,102057,337,,1.2
2026-07-08 19:04:26.910384,105717,678,,0.0
2026-07-08 19:04:26.910384,106468,43,,0.0
2026-07-08 19:04:26.910384,106611,295,,2.0
2026-07-08 19:04:26.910384,106617,363,,0.0
2026-07-08 19:04:26.910384,106760,443,,4.8
2026-07-08 19:04:26.910384,107265,675,,0.0
2026-07-08 19:04:26.910384,108413,270,,-0.8
2026-07-08 19:04:26.910384,109345,159,,0.7
2026-07-08 19:04:26.910384,109533,604,,0.0
2026-07-08 19:04:26.910384,109646,232,,0.0
2026-07-08 19:04:26.910384,109745,2,,1.0
2026-07-08 19:04:26.910384,110504,735,,0.0
2026-07-08 19:04:26.910384,110735,153,,0.0
2026-07-08 19:04:26.910384,111234,287,,1.5
2026-07-08 19:04:26.910384,111317,86,,2.0
2026-07-08 19:04:26.910384,111452,472,,0.0
2026-07-08 19:04:26.910384,111478,152,,2.7
2026-07-08 19:04:26.910384,111773,479,,0.0
2026-07-08 19:04:26.910384,113564,346,,0.3
2026-07-08 19:04:26.910384,114243,489,,3.5
2026-07-08 19:04:26.910384,114283,419,,0.0
2026-07-08 19:04:26.910384,115556,571,,0.0
2026-07-08 19:04:26.910384,116216,20,,5.5
2026-07-08 19:04:26.910384,116535,366,,0.4
2026-07-08 19:04:26.910384,118748,381,,1.0
2026-07-08 19:04:26.910384,119471,474,,0.0
2026-07-08 19:04:26.910384,121160,399,,0.0
2026-07-08 19:04:26.910384,121709,254,,-1.0
2026-07-08 19:04:26.910384,122074,401,,0.5
2026-07-08 19:04:26.910384,122798,372,,2.5
2026-07-08 19:04:26.910384,122806,54,,2.7
2026-07-08 19:04:26.910384,124165,545,,0.0
2026-07-08 19:04:26.910384,126184,405,,2.3
2026-07-08 19:04:26.910384,128295,24,,1.0
2026-07-08 19:04:26.910384,135720,570,,3.5
2026-07-08 19:04:26.910384,138001,630,,0.0
2026-07-08 19:04:26.910384,141746,449,,5.5
2026-07-08 19:04:26.910384,149065,628,,1.2
2026-07-08 19:04:26.910384,149484,40,,-0.3
2026-07-08 19:04:26.910384,149519,617,,0.0
2026-07-08 19:04:26.910384,151589,61,,0.0
2026-07-08 19:04:26.910384,152551,272,,-0.4
2026-07-08 19:04:26.910384,153127,495,,0.0
2026-07-08 19:04:26.910384,153133,324,,0.5
2026-07-08 19:04:26.910384,153366,336,,0.5
2026-07-08 19:04:26.910384,153682,329,,1.8
2026-07-08 19:04:26.910384,154296,673,,4.5
2026-07-08 19:04:26.910384,154561,1,,8.8
2026-07-08 19:04:26.910384,154566,596,,0.2
2026-07-08 19:04:26.910384,155405,429,,0.0
2026-07-08 19:04:26.910384,155408,88,,0.3
2026-07-08 19:04:26.910384,155503,369,,1.7
2026-07-08 19:04:26.910384,155511,817,,2.0
2026-07-08 19:04:26.910384,156074,264,,0.0
2026-07-08 19:04:26.910384,156689,327,,0.0
2026-07-08 19:04:26.910384,158499,87,,0.0
2026-07-08 19:04:26.910384,158534,659,,0.8
2026-07-08 19:04:26.910384,158983,392,,0.2
2026-07-08 19:04:26.910384,159506,507,,1.7
2026-07-08 19:04:26.910384,159533,326,,0.1
2026-07-08 19:04:26.910384,165809,416,,3.0
2026-07-08 19:04:26.910384,166477,319,,3.2
2026-07-08 19:04:26.910384,166989,48,,2.0
2026-07-08 19:04:26.910384,167074,322,,0.0
2026-07-08 19:04:26.910384,167512,539,,1.0
2026-07-08 19:04:26.910384,167887,209,,1.0
2026-07-08 19:04:26.910384,168636,98,,1.0
2026-07-08 19:04:26.910384,168991,89,,0.0
2026-07-08 19:04:26.910384,169359,484,,0.0
2026-07-08 19:04:26.910384,169528,316,,3.8
2026-07-08 19:04:26.910384,169593,255,,-1.0
2026-07-08 19:04:26.910384,171287,376,,0.7
2026-07-08 19:04:26.910384,171314,408,,0.5
2026-07-08 19:04:26.910384,171422,555,,0.0
2026-07-08 19:04:26.910384,172567,205,,0.0
2026-07-08 19:04:26.910384,172649,253,,0.0
2026-07-08 19:04:26.910384,172780,581,,0.5
2026-07-08 19:04:26.910384,173879,808,,0.0
2026-07-08 19:04:26.910384,174592,206,,0.0
2026-07-08 19:04:26.910384,174594,365,,1.0
2026-07-08 19:04:26.910384,174874,317,,0.0
2026-07-08 19:04:26.910384,176297,451,,0.0
2026-07-08 19:04:26.910384,177815,691,,6.7
2026-07-08 19:04:26.910384,178186,624,,4.0
2026-07-08 19:04:26.910384,178301,64,,6.3
2026-07-08 19:04:26.910384,179268,224,,2.0
2026-07-08 19:04:26.910384,179458,202,,0.7
2026-07-08 19:04:26.910384,180135,493,,1.0
2026-07-08 19:04:26.910384,180736,226,,0.7
2026-07-08 19:04:26.910384,180804,198,,1.7
2026-07-08 19:04:26.910384,180974,490,,0.0
2026-07-08 19:04:26.910384,181284,647,,0.0
2026-07-08 19:04:26.910384,183656,748,,0.0
2026-07-08 19:04:26.910384,183751,201,,0.0
2026-07-08 19:04:26.910384,184029,17,,3.5
2026-07-08 19:04:26.910384,184254,565,,0.0
2026-07-08 19:04:26.910384,184341,455,,1.5
2026-07-08 19:04:26.910384,184349,328,,2.1
2026-07-08 19:04:26.910384,184667,719,,0.3
2026-07-08 19:04:26.910384,184754,642,,1.8
2026-07-08 19:04:26.910384,191866,108,,1.0
2026-07-08 19:04:26.910384,192290,186,,0.0
2026-07-08 19:04:26.910384,194010,109,,0.0
2026-07-08 19:04:26.910384,195384,22,,0.8
2026-07-08 19:04:26.910384,195546,50,,2.3
2026-07-08 19:04:26.910384,197024,618,,0.0
2026-07-08 19:04:26.910384,198869,11,,0.0
2026-07-08 19:04:26.910384,199598,354,,4.7
2026-07-08 19:04:26.910384,199670,285,,0.0
2026-07-08 19:04:26.910384,199796,36,,1.5
2026-07-08 19:04:26.910384,199798,38,,0.5
2026-07-08 19:04:26.910384,200089,494,,2.0
2026-07-08 19:04:26.910384,200617,353,,1.3
2026-07-08 19:04:26.910384,200641,27,,0.5
2026-07-08 19:04:26.910384,200720,101,,3.3
2026-07-08 19:04:26.910384,200785,85,,2.3
2026-07-08 19:04:26.910384,200834,694,,4.8
2026-07-08 19:04:26.910384,201595,665,,0.0
2026-07-08 19:04:26.910384,201658,84,,2.3
2026-07-08 19:04:26.910384,201666,487,,4.8
2026-07-08 19:04:26.910384,201895,683,,1.6
2026-07-08 19:04:26.910384,202641,432,,0.0
2026-07-08 19:04:26.910384,202993,585,,3.2
2026-07-08 19:04:26.910384,204120,143,,0.3
2026-07-08 19:04:26.910384,204214,147,,0.0
2026-07-08 19:04:26.910384,204480,21,,4.8
2026-07-08 19:04:26.910384,204580,125,,0.3
2026-07-08 19:04:26.910384,204646,53,,0.0
2026-07-08 19:04:26.910384,204716,374,,2.3
2026-07-08 19:04:26.910384,204822,512,,0.0
2026-07-08 19:04:26.910384,204936,736,,4.5
2026-07-08 19:04:26.910384,204968,522,,1.0
2026-07-08 19:04:26.910384,205533,284,,0.0
2026-07-08 19:04:26.910384,205651,31,,1.2
